"id","hierarchy_level","immediate_higher_level_sales_unit_id","sales_unit_id","country","country_iso_code","gssn_classic_id","company_id","vbet"
"8540",1,NULL,"GS0011294","Germany","DE","XC00000114","GC0009056","VP/V"
"8541",2,"GS0011294","GS0004650","France","FR","1452799","GC0003276","531"
"8542",3,"GS0004650","GS0028184","France","FR","XY03657851","GC0022699",NULL
"8543",3,"GS0004650","GS0013122","Martinique","MQ","XY03643643","GC0010557",NULL
"8544",3,"GS0004650","GS00101669","France","FR","GP00001573","GC00101594","53106553"
"8545",3,"GS0004650","GS0036235","France","FR","XY03663836","GC0028968","53101213"
"8546",3,"GS0004650","GS0029151","France","FR","XY03658560","GC0023492",NULL
"8547",3,"GS0004650","GS0005479","France","FR","5310003962","GC0003992","53106306"
"8548",3,"GS0004650","GS0005416","France","FR","5310001055","GC0003941",NULL
"8549",3,"GS0004650","GS0015614","France","FR","XY03647566","GC0012363","53106416"
"8550",3,"GS0004650","GS0005438","France","FR","5310001812","GC0003959","53106385"
"8551",3,"GS0004650","GS0005374","France","FR","5310000491","GC0003906","53100491"
"8552",3,"GS0004650","GS0032614","France","FR","XY03661310","GC0026318","53100860"
"8553",3,"GS0004650","GS0030624","France","FR","XY03659713","GC0024663","53106517"
"8554",3,"GS0004650","GS0005499","France","FR","5310004443","GC0004000","53106348"
"8555",3,"GS0004650","GS0005571","France","FR","5310008727","GC0004056","53105727"
"8556",3,"GS0004650","GS0017399","France","FR","XY03649509","GC0013613","53106426"
"8557",3,"GS0004650","GS0017148","France","FR","XY03649249","GC0013376",NULL
"8558",3,"GS0004650","GS0005430","France","FR","5310001735","GC0003954","53101735"
"8559",3,"GS0004650","GS0005424","France","FR","5310001310","GC0003948","53101310"
"8560",3,"GS0004650","GS0048640","France","FR","XY03673399","GC0038515","53106533"
"8561",3,"GS0004650","GS0005516","France","FR","5310005030","GC0004012",NULL
"8562",3,"GS0004650","GS0005434","France","FR","5310001796","GC0003956","53106505"
"8563",3,"GS0004650","GS0005389","France","FR","5310000650","GC0003920","53106350"
"8564",3,"GS0004650","GS0034534","France","FR","XY03662724","GC0027818","53100270"
"8565",3,"GS0004650","GS0021834","France","FR","XY03654237","GC0017226","53106452"
"8566",3,"GS0004650","GS0005373","France","FR","5310000479","GC0003905","53100466"
"8567",3,"GS0004650","GS0005696","France","FR","5310011105","GC0004159","53104462"
"8568",3,"GS0004650","GS0005552","France","FR","5310006303","GC0004039",NULL
"8569",3,"GS0004650","GS0030987","France","FR","XY03659998","GC0024963","53106453"
"8570",3,"GS0004650","GS0005401","France","FR","5310000755","GC0003930","53100755"
"8571",3,"GS0004650","GS0032864","France","FR","XY03661518","GC0026503","53106469"
"8572",3,"GS0004650","GS0005519","France","FR","5310005082","GC0004014","53106323"
"8573",3,"GS0004650","GS0005503","France","FR","5310004461","GC0004004","53104461"
"8574",3,"GS0004650","GS0046006","France","FR","XY03671322","GC0036387","53100360"
"8575",3,"GS0004650","GS0005563","France","FR","5310006339","GC0004049","53106339"
"8576",3,"GS0004650","GS0005454","France","FR","5310003114","GC0003972","53103114"
"8577",3,"GS0004650","GS0005542","France","FR","5310005550","GC0004030","53105550"
"8578",3,"GS0004650","GS0005361","France","FR","5310000263","GC0003893","53100263"
"8579",3,"GS0004650","GS0005447","France","FR","5310002710","GC0003967","53102710"
"8580",3,"GS0004650","GS0017796","Martinique","MQ","XY03649967","GC0013924","53105002"
"8581",3,"GS0004650","GS0005440","France","FR","5310001970","GC0003961","53106375"
"8582",3,"GS0004650","GS0005617","France","FR","5310010174","GC0004092","53106370"
"8583",3,"GS0004650","GS0005365","France","FR","5310000305","GC0003897","53106409"
"8584",3,"GS0004650","GS0005360","France","FR","5310000155","GC0003892","53106356"
"8585",3,"GS0004650","GS0005482","France","FR","5310004250","GC0003994","53104250"
"8586",3,"GS0004650","GS00104225","France","FR","GP00004081","GC00104029","53101058"
"8587",3,"GS0004650","GS0005436","France","FR","5310001800","GC0003958","53101800"
"8588",3,"GS0004650","GS0005398","France","FR","5310000736","GC0003927","53106479"
"8589",3,"GS0004650","GS0005478","France","FR","5310003881","GC0003991","53103881"
"8590",3,"GS0004650","GS0050370","France","FR","XY03674698","GC0039895","53106937"
"8591",3,"GS0004650","GS0005468","France","FR","5310003570","GC0003982","53106337"
"8592",3,"GS0004650","GS0005414","France","FR","5310001048","GC0003940",NULL
"8593",3,"GS0004650","GS0005523","France","FR","5310005117","GC0004017","53106377"
"8594",3,"GS0004650","GS0005548","France","FR","5310006213","GC0004035","53106213"
"8595",3,"GS0004650","GS0005457","France","FR","5310003134","GC0003975","53103134"
"8596",3,"GS0004650","GS0005393","France","FR","5310000680","GC0003923","53100680"
"8597",3,"GS0004650","GS0005508","France","FR","5310004850","GC0004007","53106316"
"8598",3,"GS0004650","GS0005509","France","FR","5310004855","GC0004008","53106355"
"8599",3,"GS0004650","GS0005427","France","FR","5310001450","GC0003951","53106441"
"8600",3,"GS0004650","GS0005399","France","FR","5310000738","GC0003928","53106352"
"8601",3,"GS0004650","GS0043565","France","FR","XY03669434","GC0034629","53101830"
"8602",3,"GS0004650","GS0005354","France","FR","5310000112","GC0003887","53106342"
"8603",3,"GS0004650","GS0005385","France","FR","5310000583","GC0003917",NULL
"8604",3,"GS0004650","GS0005421","France","FR","5310001100","GC0003945","53101100"
"8605",3,"GS0004650","GS0005522","France","FR","5310005116","GC0004016","53105116"
"8606",3,"GS0004650","GS0015522","France","FR","XY03647467","GC0012307",NULL
"8607",3,"GS0004650","GS0014401","France","FR","XY03645893","GC0011485","53106411"
"8608",3,"GS0004650","GS0014597","France","FR","XY03646199","GC0011640",NULL
"8609",3,"GS0004650","GS0005375","France","FR","5310000500","GC0003907","53100500"
"8610",3,"GS0004650","GS0005476","France","FR","5310003862","GC0003989","53103862"
"8611",3,"GS0004650","GS0005526","France","FR","5310005132","GC0004018","53105132"
"8612",3,"GS0004650","GS0034773","France","FR","XY03662871","GC0027981","53106484"
"8613",3,"GS0004650","GS0005370","France","FR","5310000400","GC0003902","53100400"
"8614",3,"GS0004650","GS0005527","France","FR","5310005153","GC0004019","53106332"
"8615",3,"GS0004650","GS0005193","Reunion Island","RE","FR000001","GC0003744","53104901"
"8616",3,"GS0004650","GS0054082","France","FR","XY03677737","GC0043141","53106543"
"8617",3,"GS0004650","GS0005469","France","FR","5310003600","GC0003983","53106438"
"8618",3,"GS0004650","GS0032605","France","FR","XY03661306","GC0026314","53106518"
"8619",3,"GS0004650","GS0005419","France","FR","5310001059","GC0003944","53106507"
"8620",3,"GS0004650","GS0012401","France","FR","XY03642370","GC0010071","53106494"
"8621",3,"GS0004650","GS0015335","France","FR","XY03647238","GC0012156",NULL
"8622",3,"GS0004650","GS0005210","France","FR","FR000018","GC0003756",NULL
"8623",3,"GS0004650","GS0030017","France","FR","XY03659236","GC0024210","53100800"
"8624",3,"GS0004650","GS0005444","France","FR","5310002500","GC0003965","53106369"
"8625",3,"GS0004650","GS0005530","France","FR","5310005190","GC0004021","53105190"
"8626",4,"GS0005530","GS0005413","France","FR","5310001046","GC0004021","53101046"
"8627",4,"GS0005530","GS0005460","France","FR","5310003392","GC0004021","53103392"
"8628",4,"GS0005530","GS0091200","France","FR","XY03711872","GC0004021","53103394"
"8629",3,"GS0004650","GS0013184","France","FR","XY03643775","GC0010598","53106386"
"8630",3,"GS0004650","GS0005407","France","FR","5310000875","GC0003935","53100875"
"8631",3,"GS0004650","GS00105693","France","FR","GS00105693","GC00105412",NULL
"8632",3,"GS0004650","GS0005487","France","FR","5310004260","GC0003996","53104260"
"8633",3,"GS0004650","GS0005535","France","FR","5310005257","GC0004024","53105257"
"8634",3,"GS0004650","GS0021634","France","FR","XY03654029","GC0017058","53106451"
"8635",3,"GS0004650","GS0013121","Guadeloupe","GP","XY03643642","GC0010556","53106473"
"8636",3,"GS0004650","GS0005533","France","FR","5310005237","GC0004023",NULL
"8637",3,"GS0004650","GS0029399","France","FR","XY03658768","GC0023704","53106462"
"8638",3,"GS0004650","GS0025519","France","FR","XY03655393","GC0020716","53100040"
"8639",3,"GS0004650","GS0005537","France","FR","5310005337","GC0004025","53105337"
"8640",3,"GS0004650","GS0005347","France","FR","5310000063","GC0003883","53106424"
"8641",3,"GS0004650","GS0005394","France","FR","5310000690","GC0003924","53100690"
"8642",3,"GS0004650","GS0005380","France","FR","5310000550","GC0003912",NULL
"8643",3,"GS0004650","GS0005462","France","FR","5310003442","GC0003979","53103442"
"8644",3,"GS0004650","GS0012270","France","FR","XY03642030","GC0009972","53106423"
"8645",3,"GS0004650","GS0005528","France","FR","5310005166","GC0004020",NULL
"8646",3,"GS0004650","GS0036576","France","FR","XY03664127","GC0029284","53100505"
